ID,DBH
1,12.2
2,15.8
3,14
4,15.5
5,8.5
6,14.7
7,19.4
8,14.8
9,8.2
10,13.2
11,9.3
12,21.1
13,13.7
14,14.4
15,30.7
16,20.1
17,26.7
18,14.2
19,29.8
20,18.9
21,9
22,7.8
23,24.5
24,20.3
25,10.1
26,34.7
27,22
28,28.6
29,12.9
30,20.8
31,20.2
32,7.6
33,6.4
34,15.3
35,14.3
36,7.5
37,23.4
38,14.2
39,8
40,16
41,7
42,34
43,8.8
44,11
45,9.1
46,12.6
47,24.3
48,28.7
49,9.2
50,11.5
51,26.5
52,11.5
53,21.7
54,14.7
55,18.1
56,23.5
57,15.6
58,15.6
59,22.3
60,40.7
61,10.3
62,21.1
63,24.7
64,14.9
65,22.9
66,10.3
67,16.5
68,24.7
69,18.5
70,33.5
71,10.6
72,15.7
73,8.7
74,26.8
75,11.6
76,21.3
77,9.8
78,28.3
79,10.8
80,23.6
81,8.5
82,7.9
83,13.1
84,11.3
85,6.2
86,10.3
87,27.2
88,15
89,10.5
90,6
91,12.7
92,20.9
93,30.5
94,10
95,15.8
96,25.6
97,20.9
98,30.8
99,25
100,7.3
101,9.2
102,6.3
103,7
104,16.7
105,9.9
106,12.5
107,14.8
108,17.4
109,7.4
110,8.5
111,9
112,11.2
113,11.5
114,30.5
115,6.8
116,13.5
117,8.7
118,10
119,8
120,11.5
121,12
122,7.2
123,8.1
124,12.5
125,6.2
126,15.4
127,15.8
128,6.2
129,19.8
130,35
131,6.1
132,15.5
133,8.1
134,14.8
135,7.1
136,7
137,12.6
138,30.1
139,14.1
140,8.4
141,7.5
142,11.9
143,8
144,7.8
145,19.5
146,6.3
147,11.5
148,6
149,7.2
150,14
151,11.1
152,17.5
153,8.4
154,42.8
155,19.5
156,6.9
157,19.1
158,9.5
159,18.6
160,9.5
161,10
162,13.5
163,11.4
164,18.3
165,19.6
166,16.5
167,7.1
168,9.9
169,19.6
170,22.7
171,28.8
172,25.8
173,11.7
174,11.1
175,7
176,8.2
177,8.7
178,7.6
179,9.5
180,10
181,13.8
182,8.2
183,36.1
184,9.9
185,6.1
186,12.5
187,25
188,12
189,6.7
190,11.6
191,6.5
192,26
193,6.5
194,23.8
195,14.2
196,19.8
197,14
198,9
199,16.5
200,7.4
201,10.8
202,15.5
203,13.1
204,9.6
205,7
206,7
207,9.2
208,16.2
209,16.5
210,8.7
211,12
212,38.3
213,12
214,12.5
215,16.1
216,24.9
217,14.1
218,12.3
219,8.4
220,16.7
221,10.4
222,11.8
223,20.3
224,7.1
225,9.2
226,13.6
227,8.5
228,16.9
229,10.8
230,15.4
231,20.8
232,20.7
233,14.1
234,13.5
235,6.4
236,32
237,41
238,8.9
239,12.8
240,33.6
241,12.5
242,10.2
243,26
244,20.2
245,14.5
246,23.5
247,30.1
248,7.7
249,20.8
250,15.5
251,16.7
252,14.5
253,16.2
254,14.6
255,8.3
256,10.3
257,7.7
258,8.3
259,15.1
260,15.4
261,10
262,7.5
263,14.1
264,15.6
265,16
266,18.7
267,7
268,18.6
269,17.4
270,25.7
271,13.2
272,18.6
273,23
274,10.7
275,14.5
276,8.4
277,26.4
278,16.8
279,18.5
280,13
281,9.6
282,12.7
283,15.1
284,8
285,17.2
286,12.6
287,11.5
288,6
289,19
290,11.4
291,8.8
292,12.5
293,19
294,17.8
295,16
296,24.9
297,18.6
298,8.2
299,10.7
300,6.1
301,23
302,11.1
303,7.2
304,6.5
305,7.1
306,7.9
307,10
308,15.3
309,12.8
310,20.4
311,16.1
312,10.3
313,8.5
314,7.3
315,8.7
316,8.6
317,12.5
318,9.5
319,19.8
320,9
321,13.2
322,14.6
323,8.3
324,8.2
325,10.8
326,12.5
327,8.7
328,11.7
329,29.3
330,6.8
331,15.4
332,8.7
333,11.5
334,26
335,26.5
336,47.8
337,8.3
338,7.2
339,9.7
340,15.5
341,9.2
342,10.3
343,12.3
344,13
345,18.8
346,17
347,14.5
348,15.6
349,10.5
350,17.5
351,7.2
352,6.4
353,8
355,7
356,9.8
357,15.6
358,12.9
359,9.1
360,14
361,13.8
362,17.5
363,8.9
364,22
365,18.4
366,9.4
367,18
368,9.9
369,11.7
370,23.6
371,9
372,12.6
373,9.4
374,9.1
375,7.1
376,10.9
377,13.9
378,12.6
379,23.3
380,20.3
381,21.5
382,19
383,17.4
384,29.8
385,12.6
386,13
387,13.1
388,6.8
389,14.2
390,8.9
391,28.5
392,18.9
393,18.5
394,6.4
395,12.9
396,6.1
397,15
398,8.8
399,15.5
400,10.3
401,7.5
402,11.4
403,7.6
404,18.5
405,7.5
406,11.2
407,8
408,22.3
409,9.6
410,27.1
411,19.3
412,10.1
413,18
414,19.2
415,14.3
416,8
417,6.8
418,8.2
419,10.7
420,13.5
421,6.5
422,8.7
423,30.1
424,24
425,6.9
426,20.7
427,17.9
428,13
429,15.4
430,10.3
431,19.5
432,11.7
433,8.2
434,15.7
435,17.1
436,14.7
437,17.4
438,24.4
439,13
440,6.1
441,10.4
442,8.4
443,31.2
444,7.5
445,20.9
446,14.6
447,11.6
448,10.6
449,17.2
450,6.6
451,7.1
452,24
453,8.1
454,11.4
455,8
456,7.2
457,10.8
458,6.9
459,13.3
460,7.7
461,12
462,9.1
463,23
464,8.5
465,17.5
466,11.5
467,10.3
468,22
469,8.3
470,14
471,15.1
472,9.3
473,10
474,19.8
475,7.6
476,13.8
477,15.3
478,6.6
479,10.5
480,17
481,14.6
482,9.2
483,6.5
484,13.5
485,8.8
486,7.6
487,16
488,11.9
489,16.7
490,15.5
491,12
492,24.4
493,25.2
494,7
495,22.7
496,8.3
497,16.1
498,7.9
499,9.3
500,8.5
501,8
502,9.7
503,7.8
504,10.6
505,7.2
506,8.6
507,7.1
508,9.6
509,18.8
510,6
511,20.1
512,8.6
513,8.7
514,20.4
515,13
516,10.2
517,9.7
518,16
519,8.5
520,13.5
521,36.8
522,7
523,9.1
524,14.1
525,12.3
526,14.3
527,9.1
528,9
529,11.3
530,18
531,6.6
532,12.7
533,20.8
534,13.6
535,23.2
536,7.9
537,11.3
538,13.2
539,17
540,23.1
541,6.3
542,27.6
543,9.6
544,10.9
545,12.5
546,14.8
547,10.1
548,6.8
549,10.9
550,6.3
551,6.1
552,14.8
553,8.1
554,10.1
555,9
556,26.3
557,11.5
558,21.8
559,17.7
560,29
561,25.3
562,14
563,8.4
564,8.7
565,7.7
566,6.4
567,21.5
568,19
569,14.3
570,12
571,30.5
572,8.9
573,13.9
574,7.4
575,12
576,8.4
577,16.5
578,6
579,6.4
580,26.2
581,10.9
582,10.5
583,12.7
584,18
585,24.9
586,6.6
587,8
588,13.2
589,20.5
590,21.2
591,6.4
592,7.3
593,19.3
594,20.1
595,7
596,12.9
597,19
598,9.4
599,10.1
600,10.8
601,21.4
602,8.3
603,9.9
604,10.1
605,11.2
606,6.8
607,13.5
608,18.7
609,7.5
610,7.1
611,11.9
